COMMON.NAME,SCIENTIFIC.NAME,OBSERVATION.COUNT,STATE,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION.DATE,SPECIES.COMMENTS,month,day,daym,year
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Maharashtra,Raigarh,"Uran, Navi Mumbai IN-Maharashtra (18.9105,72.9758)",18.910512,72.975832,6/1/2019,NA,6,152,1,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Bangalore,"Turahalli State Forest, Bangalore",12.8819519,77.5246403,6/2/2019,NA,6,153,2,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,9,Himachal Pradesh,Sirmaur,"Simbalbara NP--PP (30.428, 77.487)",30.4276246,77.4865097,6/2/2019,"5-6 males seen fighting, females nearby",6,153,2,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Telangana,Warangal,Pakhal Lake,17.9537012,79.9780812,6/1/2019,NA,6,152,1,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,5,Telangana,Warangal,Bheemuni Paadam Waterfalls,17.837,80.035,6/2/2019,NA,6,153,2,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Uttarakhand,Hardwar,"Gujjar Basti, Gaindikhata",29.7749,78.24933,6/3/2019,NA,6,154,3,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Maharashtra,Mumbai Suburban,"Bhandup Pumping Station, Mumbai",19.1410937,72.9609883,6/3/2019,Immature Male,6,154,3,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Uttarakhand,Garhwal,"Kolhu Chaur, Lansdowne Forest Division",29.7076565,78.573913,6/1/2019,NA,6,152,1,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Uttarakhand,Garhwal,Chokham,29.7079224,78.6526563,6/1/2019,NA,6,152,1,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Uttarakhand,Garhwal,"Nauri, Lansdowne Forest Division",29.7848183,78.6254221,6/1/2019,NA,6,152,1,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Telangana,Warangal,Bheemuni Paadam Waterfalls,17.837,80.035,6/1/2019,NA,6,152,1,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Bangalore,Valley School,12.8536944,77.5094716,6/5/2019,NA,6,156,5,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,7,Chhattisgarh,Raipur,"Gudhiyari Wetlands, Raipur",21.2561468,81.615493,6/8/2019,NA,6,159,8,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,9,Karnataka,Bangalore,Valley School,12.8536944,77.5094716,6/8/2019,"Three males (1 White morph, 2 rufous morph), two recently fledged juvenile two on nest and 4 female. Two sighted together where one female feeding two juvenile nest and far away two recently fledged juvenile fed by one female and accompanied by another female.",6,159,8,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Telangana,Mahbubnagar,Uma Maheswaram,16.3690507,78.7290214,6/9/2019,NA,6,160,9,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,6,Karnataka,Bangalore,Valley School,12.8536944,77.5094716,6/9/2019,3 male and 3 female birds sighted ,6,160,9,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Maharashtra,Pune,Mula River -- Baner,18.5647853,73.7944874,6/8/2019,Female.,6,159,8,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Madhya Pradesh,Hoshangabad,Small pond next to silk farm,22.5983,78.157495,6/12/2019,NA,6,163,12,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Himachal Pradesh,Kangra,"Bhagsunag Waterfall, McLeodganj",32.2477638,76.338281,6/8/2019,NA,6,159,8,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Maharashtra,Bhandara,"Shivantola Naka, Pangadi, Maharashtra, IN (21.206, 79.938)",21.2057576,79.9383727,6/11/2019,NA,6,162,11,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Uttarakhand,Garhwal,"Nauri, Lansdowne Forest Division",29.7848183,78.6254221,6/1/2019,NA,6,152,1,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Uttarakhand,Hardwar,Laldhang--Rasoolpur,29.8616348,78.3109342,6/2/2019,NA,6,153,2,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Madhya Pradesh,Hoshangabad,"(22.5057,78.4400) Paraspani",22.505653,78.440038,6/14/2019,NA,6,165,14,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,North-West Frontier,NA,"Khariyan PK-Islamabad (33.8093,73.1365)",33.80926,73.136475,6/15/2019,NA,6,166,15,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Delhi,South Delhi,"Unnamed Road, New Delhi, Haryana, IN (28.426, 77.169)shamshin Lake",28.426066,77.1693054,6/11/2019,NA,6,162,11,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Madhyamanchal,Nuwakot,Shivapuri-Nagarjun National Park - General,27.8037666,85.3948233,6/12/2019,NA,6,163,12,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Bangalore,Valley School,12.8536944,77.5094716,6/15/2019,NA,6,166,15,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Madhya Pradesh,Hoshangabad,"Panarpani, Madhya Pradesh, IN (22.505, 78.434)",22.504726,78.4340238,6/14/2019,NA,6,165,14,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Rajasthan,Jaipur,Jhalana Safari Park,26.8571208,75.839715,6/17/2019,NA,6,168,17,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,6,Rajasthan,Jaipur,Jhalana Safari Park,26.8571208,75.839715,6/17/2019,NA,6,168,17,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Andhra Pradesh,Visakhapatnam,Lambasingi,17.8178299,82.492218,6/9/2019,NA,6,160,9,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Gujarat,Narmada,"Shoolpaneshwar WLS, Rajpipla",21.6710192,73.7911246,6/15/2019,NA,6,166,15,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,7,Madhya Pradesh,Narsimhapur,"Unnamed Road, Kathotiya, Madhya Pradesh, IN (22.944, 79.128)",22.9437078,79.1282312,6/18/2019,NA,6,169,18,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,6,Maharashtra,Chandrapur,Kolara Buffer Zone,20.3519494,79.3807658,6/17/2019,NA,6,168,17,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,50,West Bengal,Nadia,"Khisma Forest, Nadia",23.2549497,88.5951769,6/19/2019,More than 50,6,170,19,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,50,West Bengal,Nadia,"Khisma Forest, Nadia",23.2549497,88.5951769,6/19/2019,More than 50--Observed more than 8 nests.Spotted many juvenile birds along with many adult pairs in and around the nests.,6,170,19,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,6,Islamabad,NA,Margalla Hills Trail 5,33.744923,73.087365,6/10/2019,NA,6,161,10,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Gujarat,Gandhinagar,"Gujarat State Highway 71, Gujarat, IN (23.13, 72.629)",23.1304274,72.6294019,6/22/2019,NA,6,173,22,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Telangana,Mahbubnagar,Pichakuntla cheruvu,16.2585674,78.6902383,6/22/2019,NA,6,173,22,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,4,Uttar Pradesh,Kheri,Dudhwa NP -- General Area,28.4695517,80.6257507,6/7/2019,NA,6,158,7,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Haryana,Faridabad,Mangar mohit farm,28.3563971,77.1685964,6/22/2019,NA,6,173,22,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Bangalore,Valley School,12.8536944,77.5094716,6/9/2019,NA,6,160,9,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,4,Uttarakhand,Garhwal,Chokham,29.7079224,78.6526563,6/17/2019,NA,6,168,17,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Uttarakhand,Garhwal,Chokham,29.7079224,78.6526563,6/16/2019,NA,6,167,16,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Uttarakhand,Garhwal,"Kolhu Chaur, Lansdowne Forest Division",29.7076565,78.573913,6/16/2019,NA,6,167,16,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Uttarakhand,Garhwal,Chokham,29.7079224,78.6526563,6/16/2019,NA,6,167,16,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Uttarakhand,Garhwal,Chokham,29.7079224,78.6526563,6/16/2019,NA,6,167,16,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,4,Uttarakhand,Garhwal,"Saneh, Lansdowne Forest Division",29.6923681,78.5234874,6/15/2019,NA,6,166,15,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Uttarakhand,Nainital,Jeolikote,29.3451146,79.4785175,6/7/2019,Two males and one female seen,6,158,7,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Mysore,Rayana Kere ರಾಯನ ಕೆರೆ,12.2303338,76.6258836,6/23/2019,NA,6,174,23,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Himachal Pradesh,Shimla,"Badhal, HP",31.5353261,77.7832774,6/16/2019,NA,6,167,16,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,X,Gujarat,Junagadh,"Hasnapur Dam, Jambudi Thanu",21.571728,70.5167341,6/23/2019,NA,6,174,23,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,6,Maharashtra,Chandrapur,"Tadoba National Park, Chandrapur IN-Maharashtra (20.1881,79.3409)",20.188056,79.340869,6/12/2019,NA,6,163,12,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Telangana,Mahbubnagar,Mallela Theertham,16.2654366,78.8558722,6/23/2019,NA,6,174,23,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,3,Gujarat,Rajkot,Bhootnath Mahadev,22.1099464,71.0786747,6/22/2019,"All females, no male observed. One female kept harassing a pair of Pied Cuckoo until the pair flew away. Quite vocal in general.",6,173,22,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Maharashtra,Raigarh,Karnala Bird Sanctuary,18.8932799,73.1133847,6/15/2019,NA,6,166,15,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Karnataka,Bangalore,Valley School,12.8536944,77.5094716,6/26/2019,NA,6,177,26,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Uttarakhand,Nainital,Sattal & Surroundings,29.3626241,79.535654,6/27/2019,NA,6,178,27,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,4,Uttarakhand,Nainital,Sattal & Surroundings,29.3626241,79.535654,6/28/2019,NA,6,179,28,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Uttarakhand,Chamoli,"NH 7, Chamoli IN-Uttarakhand (30.3397,79.3169)",30.339726,79.316937,6/28/2019,NA,6,179,28,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,10,Uttarakhand,Dehradun,Chandrabani-Karwapani Trail,30.2823137,77.9587698,6/27/2019,"At least 3 white males, at least 1 rufous male",6,178,27,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Madhyamanchal,Kathmandu,Ichangu Narayan,27.7250873,85.2623275,6/29/2019,a pair,6,180,29,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Uttarakhand,Nainital,Sattal & Surroundings,29.3626241,79.535654,6/29/2019,NA,6,180,29,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Uttarakhand,Nainital,Sattal & Surroundings,29.3626241,79.535654,6/30/2019,NA,6,181,30,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Tamil Nadu,Erode,"National Highway 948, Talamalai R.F., Tamil Nadu, IN (11.62, 77.131)",11.6204167,77.13071,6/23/2019,NA,6,174,23,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,1,Tamil Nadu,Erode,"Talamalai R.F., Tamil Nadu, IN (11.616, 77.006)",11.615585,77.006,6/23/2019,NA,6,174,23,2019
Indian Paradise-Flycatcher,Terpsiphone paradisi,2,Karnataka,Bangalore,Valley School,12.8536944,77.5094716,6/30/2019,Rufous male and female,6,181,30,2019
