region,quart,ruf,rec_posr,rec_totr,binconf.r_lower,binconf.r_upper,whi,rec_posw,rec_totw,binconf.w_lower,binconf.w_upper
Himalayas,Mar-May,0.104803493,24,229,0.071444,0.151203,0.838427948,192,229,0.785241,0.880448
Himalayas,Jun-Aug,0.141176471,12,85,0.082642,0.230741,0.811764706,69,85,0.71589,0.880679
Himalayas,Sep-Nov,NA,0,2,NA,NA,NA,3,3,NA,NA
Himalayas,Dec-Feb,NA,0,0,NA,NA,NA,0,0,NA,NA
North,Mar-May,0.489795918,72,147,0.41028028,0.5698313,0.43537415,64,147,0.3578805,0.5161595
North,Jun-Aug,0.694805195,107,154,0.61806929,0.762059,0.305194805,47,154,0.237941,0.3819307
North,Sep-Nov,0.565217391,13,23,0.36811375,0.7436536,0.434782609,10,23,0.2563464,0.6318862
North,Dec-Feb,NA,0,0,NA,NA,NA,0,0,NA,NA
Central,Mar-May,0.50212766,118,235,0.4386832,0.5655037,0.412765957,97,235,0.351715,0.476623
Central,Jun-Aug,0.424528302,45,106,0.3346964,0.5196391,0.556603774,59,106,0.4616992,0.6475492
Central,Sep-Nov,0.272727273,27,99,0.19472403,0.3677092,0.656565657,65,99,0.5587562,0.7426787
Central,Dec-Feb,0.23006135,75,326,0.18767667,0.2787336,0.687116564,224,326,0.6348517,0.735023
South,Mar-May,0.497685185,215,432,0.45076493,0.5446462,0.446759259,193,432,0.4005519,0.4939052
South,Jun-Aug,0.828571429,29,35,0.67317718,0.9189736,0.171428571,6,35,0.0810264,0.3268228
South,Sep-Nov,0.43315508,162,374,0.38386722,0.4838021,0.497326203,186,374,0.4469387,0.5477681
South,Dec-Feb,0.448462929,496,1106,0.41938118,0.4779014,0.478300181,529,1106,0.4489866,0.5077639
Sri Lanka,Mar-May,0.555555556,10,18,0.33716416,0.7544048,0.277777778,5,18,0.1249975,0.5087266
Sri Lanka,Jun-Aug,0.923076923,12,13,0.66686049,0.9960544,0,0,13,0,0.2280954
Sri Lanka,Sep-Nov,0.333333333,4,12,0.13812009,0.6093779,0.666666667,8,12,0.3906221,0.8618799
Sri Lanka,Dec-Feb,0.3,18,60,0.19898166,0.4250871,0.583333333,35,60,0.4572808,0.6993572
East,Mar-May,0.476635514,51,107,0.384461,0.570429,0.504672897,54,107,0.411433,0.597589
East,Jun-Aug,0.404761905,17,42,0.270429,0.555057,0.523809524,22,42,0.377225,0.666404
East,Sep-Nov,NA,0,0,NA,NA,NA,0,0,NA,NA
East,Dec-Feb,0.375,6,16,0.15176324,0.5828645,0.5625,9,16,0.3574683,0.801755
