source,documentation,COMMON.NAME,STATE,LATITUDE,LONGITUDE,month,day,year,morph
OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,31.5211766,81.402006,4,8,2002,R
OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,31.637379,81.402006,11,1,2003,R
OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,30.0647328,73.769154,1,10,2004,W
OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,32.0352778,79.947168,1,10,2004,W
OBI,Photo,Indian Paradise-Flycatcher,Sri Lanka,31.6412,80.528271,8,8,2004,R
OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,29.39,73.855146,1,29,2006,R
OBI,Photo,Indian Paradise-Flycatcher,Jammu & Kashmir,29.352276,74.797717,4,26,2006,W
eBird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,10.3505313,76.9766 ,11,14,2006,W
eBird,Photo,Indian Paradise-Flycatcher,Sri Lanka,6.053308,81.2324 ,12,6,2006,I
OBI,Photo,Indian Paradise-Flycatcher,Maharashtra,29.3974,73.855146,2,18,2007,R
OBI,Photo,Indian Paradise-Flycatcher,Madhya Pradesh,29.353121,81.01805,5,9,2007,W
OBI,Photo,Indian Paradise-Flycatcher,Rajasthan,30.4001,76.433191,5,19,2007,I
eBird,Photo,Indian Paradise-Flycatcher,Kerala,10.344473,76.1203,1,30,2008,W
eBird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,10.7976,78.7452,2,23,2008,R
eBird,Photo,Indian Paradise-Flycatcher,Gujarat,19.55096,70.5819,2,11,2008,W
OBI,Photo,Indian Paradise-Flycatcher,Nepal,30.3915122,84.431735,6,11,2008,W
eBird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,9.668,78.0201 ,12,24,2008,R
eBird,Photo,Indian Paradise-Flycatcher,Tamil Nadu,9.6786769,78.0201 ,12,24,2008,W
IBP,Photo,Indian Paradise-Flycatcher,Tamil Nadu,7.274299,77.33244,2,6,2009,R
