source,documentation,COMMON.NAME,SAMPLING.EVENT.IDENTIFIER,date,STATE,morph,aberration,int_rating
eBird,Photo,Indian Paradise-Flycatcher,S60240843,29-Sep-19,Karnataka,R,,
eBird,Photo,Indian Paradise-Flycatcher,S102738822,6-Oct-19,Tripura,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60389255,6-Oct-19,West Bengal,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60418486,7-Oct-19,Jammu and Kashmir,W,,
eBird,Photo,Indian Paradise-Flycatcher,S67279523,12-Oct-19,Madhya Pradesh,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60734555,19-Oct-19,Tamil Nadu,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60780111,20-Oct-19,Karnataka,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60844668,22-Oct-19,West Bengal,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60938472,26-Oct-19,Tamil Nadu,I,,3
eBird,Photo,Indian Paradise-Flycatcher,S60993060,28-Oct-19,Karnataka,R,,
eBird,Photo,Indian Paradise-Flycatcher,S60990559,28-Oct-19,Karnataka,I,,1
eBird,Photo,Indian Paradise-Flycatcher,S60989430,28-Oct-19,Karnataka,R,,
eBird,Photo,Indian Paradise-Flycatcher,S61548519,28-Oct-19,West Bengal,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60993060,28-Oct-19,Karnataka,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61014020,29-Oct-19,Karnataka,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61118900,2-Nov-19,Gujarat,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61139989,3-Nov-19,Maharashtra,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61260072,8-Nov-19,Kerala,R,,
eBird,Photo,Indian Paradise-Flycatcher,S61254216,8-Nov-19,Kerala,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61319751,9-Nov-19,Maharashtra,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61294455,9-Nov-19,Karnataka,W,,
