source,documentation,COMMON.NAME,SAMPLING.EVENT.IDENTIFIER,morph,aberration,int_rating
eBird,Photo,Indian Paradise-Flycatcher,S60240843,R,,
eBird,Photo,Indian Paradise-Flycatcher,S102738822,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60389255,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60418486,W,,
eBird,Photo,Indian Paradise-Flycatcher,S67279523,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60734555,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60780111,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60844668,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60938472,I,,3
eBird,Photo,Indian Paradise-Flycatcher,S60993060,R,,
eBird,Photo,Indian Paradise-Flycatcher,S60990559,I,,1
eBird,Photo,Indian Paradise-Flycatcher,S60989430,R,,
eBird,Photo,Indian Paradise-Flycatcher,S61548519,W,,
eBird,Photo,Indian Paradise-Flycatcher,S60993060,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61014020,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61118900,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61139989,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61260072,R,,
eBird,Photo,Indian Paradise-Flycatcher,S61254216,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61319751,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61294455,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61334024,I,,2
eBird,Photo,Indian Paradise-Flycatcher,S61353876,R,,
eBird,Photo,Indian Paradise-Flycatcher,S61353876,W,,
eBird,Photo,Indian Paradise-Flycatcher,S89919673,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61395387,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61411164,R,,
eBird,Photo,Indian Paradise-Flycatcher,S61641176,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61433132,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61638855,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61638855,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61548832,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61521186,I,,1
eBird,Photo,Indian Paradise-Flycatcher,S61543212,I,F,1
eBird,Photo,Indian Paradise-Flycatcher,S61516428,I,F,1
eBird,Photo,Indian Paradise-Flycatcher,S61509042,R,,
eBird,Photo,Indian Paradise-Flycatcher,S61513208,R,,
eBird,Photo,Indian Paradise-Flycatcher,S72180234,W,,
,Photo,Indian Paradise-Flycatcher,S62402691,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61681019,R,F,
eBird,Photo,Indian Paradise-Flycatcher,S61664330,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61697918,R,,
eBird,Photo,Indian Paradise-Flycatcher,S61765752,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61695144,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61695761,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61809643,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61757456,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62364186,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61889245,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61887263,R,,
eBird,Photo,Indian Paradise-Flycatcher,S96361449,I,,3
eBird,Photo,Indian Paradise-Flycatcher,S96361449,W,,
eBird,Photo,Indian Paradise-Flycatcher,S61990881,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62142884,I,F,1
eBird,Photo,Indian Paradise-Flycatcher,S62142884,W,,
eBird,Photo,Indian Paradise-Flycatcher,S96102457,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62133914,R,,
eBird,Photo,Indian Paradise-Flycatcher,S62137432,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62214462,R,,
eBird,Photo,Indian Paradise-Flycatcher,S62356325,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62240452,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62411581,R,,
eBird,Photo,Indian Paradise-Flycatcher,S96370460,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62292113,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62284163,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62319712,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62388784,I,,4
eBird,Photo,Indian Paradise-Flycatcher,S62387281,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62462757,R,,
eBird,Photo,Indian Paradise-Flycatcher,S65395665,R,,
eBird,Photo,Indian Paradise-Flycatcher,S62520315,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62549895,I,,2
eBird,Photo,Indian Paradise-Flycatcher,S62563515,R,,
eBird,Photo,Indian Paradise-Flycatcher,S67535909,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62610637,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62612666,W,,
eBird,Photo,Indian Paradise-Flycatcher,S62610637,W,,
eBird,Photo,Indian Paradise-Flycatcher,S117474871,W,,
