source,documentation,COMMON.NAME,url,OBSERVATION.DATE,LATITUDE,LONGITUDE,morph,aberration,int_rating
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/286724948,30-Dec-19,19.31354744,73.66222199,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/238731892,1-Dec-19,23.2156354,72.6369415,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/243859911,21-Dec-19,7.2742013,80.5969905,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/237421577,1-Oct-19,22.1550508,82.14730972,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/232060783,25-Oct-19,23.2182703,72.6685405,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/192555158,2-Dec-19,7.332705882,80.7421875,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/166176342,6-Nov-19,8.2295281,79.7596142,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/155588527,15-Dec-19,19.0522583,72.8627641,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/150275149,23-Dec-19,19.00432175,73.28255128,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/148019855,28-Dec-19,8.8578287,77.2175223,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/138474549,22-Dec-19,11.4694315,75.9724491,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/137611700,16-Dec-19,9.6037025,77.1675208,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/94104889,29-Oct-19,12.269372,76.611978,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/66239592,11-Oct-19,18.42035781,74.13161634,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/62182033,14-Dec-19,19.05225815,72.86276411,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/58488520,20-Dec-19,9.9543044,78.1507177,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/56766342,16-Nov-19,8.65577,77.448032,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/56506427,27-Dec-19,22.4707019,70.05773,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/56506426,27-Dec-19,22.4707019,70.05773,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/52654564,15-Dec-19,12.9914929,80.2336907,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/52123000,24-Dec-19,10.64868482,76.18486203,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/47409812,3-Nov-19,13.22900846,77.67598215,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/46066908,22-Dec-19,13.2290083,77.6759822,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/37468720,19-Dec-19,9.462155,77.2368474,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/36992586,21-Dec-19,13.22901629,77.67598215,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/36880044,8-Dec-19,7.264366721,80.71032733,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/36860053,16-Dec-19,22.519074,70.139575,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/36799146,20-Dec-19,6.259306913,81.24823735,I,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/36091644,22-Nov-19,6.224181988,80.1138369,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/35666033,13-Nov-19,6.2241821,80.1138369,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/34403192,6-Oct-19,6.373104119,81.49693821,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/243936792,10-Jan-20,6.282861783,81.26801807,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/204020854,16-Feb-20,16.17045992,74.11465969,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/152905988,10-Mar-20,9.790246389,76.30451639,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/152211478,23-Jan-20,10.05017806,76.33974306,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/151408186,6-Feb-20,22.58746908,78.17214608,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/141552271,6-Jan-20,18.5540312,73.7904576,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/135929280,1-Jan-20,23.20445468,69.26083198,I,,3
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/126179137,7-Apr-20,30.74771434,76.7984869,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/108793349,12-Mar-20,27.5856402,84.32791473,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/100075225,11-Mar-20,10.53029449,76.3473184,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/95631947,10-Mar-20,17.92926766,77.4928321,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/84052145,29-Feb-20,6.346453903,81.35192732,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/81419421,24-Jan-20,8.836390829,77.03318037,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/70497181,1-Mar-20,12.86630255,79.35192834,I,,2
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/66090121,13-Mar-20,24.21809754,74.45202112,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/56318084,3-Feb-20,13.01799661,77.56229025,I,,2
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/55272865,17-Mar-20,12.8643066,77.5212751,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/55272852,9-May-20,12.8543147,77.5099453,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/48619164,21-Mar-20,10.626322,76.3722368,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/42922787,7-Apr-20,11.71193359,76.16388246,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/42850982,10-Apr-20,6.279156667,80.95627592,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/42086390,12-Apr-20,22.98724519,87.01040499,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/42019512,31-Jan-20,9.0176117,76.9260936,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/41975809,12-Apr-20,23.15700138,86.74431961,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/41221912,18-Jan-20,10.1309878,76.2410493,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/41221093,1-Apr-20,10.1309878,76.2410493,I,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/40879492,28-Mar-20,28.56926517,77.33459596,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/40808282,27-Mar-20,28.56926517,77.33459596,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/40285241,20-Mar-20,6.884613391,79.95204278,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/40279879,20-Mar-20,22.48877668,88.39311569,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,https://www.inaturalist.org/observations/40221907,19-Mar-20,11.10708065,79.69581764,I,,5
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/40066850,2-Mar-20,14.985097,74.108694,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/40039918,7-Mar-20,10.10870646,76.50085141,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/39950181,13-Mar-20,7.292153292,80.6333982,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/39835323,6-Mar-20,11.95580057,77.16370907,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/39776552,21-Feb-20,6.429996667,80.41560833,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/39743145,17-Feb-20,8.670811521,77.14133978,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/39514400,3-Mar-20,8.56191606,76.88669018,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/39206896,3-Feb-20,8.20968,80.07293167,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/39206892,3-Feb-20,8.209678333,80.07327333,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/39206364,4-Feb-20,8.424726667,79.98348833,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/39205105,4-Feb-20,8.30804,80.14800333,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/39190569,20-Jan-20,10.1297914,76.6871184,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/39085385,16-Feb-20,12.898415,77.59249667,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/39020427,15-Feb-20,12.942045,77.51183167,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,https://www.inaturalist.org/observations/38453748,6-Feb-20,6.224181988,80.1138369,R,F,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/38297534,25-Jan-20,6.389723,80.501389,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/37256896,4-Jan-20,17.9088561,73.6562598,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/145148999,19-Jun-20,27.7172453,85.3239605,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/137444488,14-Jun-20,12.85431484,77.50994504,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/61808449,27-Jul-20,34.05987094,74.80745014,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/59588800,11-Jun-20,18.89989662,81.34743009,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/57421673,24-Aug-20,15.399344,73.844173,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/56608493,2-Jul-20,21.18708525,80.76186363,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/51345825,28-Jun-20,22.89659541,86.20610286,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/51213634,27-Jun-20,18.78538544,76.7626169,R,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/51205001,2-Jun-20,21.13703304,81.33317482,W,,
iNaturalist,Photo,Indian Paradise-Flycatcher,inaturalist.org/observations/50309625,16-Jun-20,22.98933836,87.00652333,R,,
