Sl.No.,Sources,Photo/comments,COMMON.NAME,STATE,region,LATITUDE,LONGITUDE,month,day,year,morph
1,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,8.3117,77.0063657,1,1,1978,W
2,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,8.237763,77.0023584,3,17,1978,R
3,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,8.237764,77.0063657,11,18,1980,I
4,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.2445645,79.8530102,2,22,1984,W
5,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,11.0925,76.4480639,11,29,1984,W
6,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,12.9934334,80.2704477,3,28,1986,I
7,ebird,comments,Indian Paradise-Flycatcher,Jammu & Kashmir,Himalayas,28.4668785,74.8011446,7,13,1988,W
8,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,15.4585,78.797778,4,29,1989,R
9,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,17.3145,78.3172417,4,2,1990,W
10,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.7027,77.564249,1,19,1991,R
11,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.05916,75.966644,1,27,1991,W
12,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.0802175,75.626552,3,5,1991,W
13,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3616,77.191422,12,8,1991,R
14,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,9.4933,76.7651492,12,28,1991,W
15,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,13.3671,77.6831734,1,9,1992,W
16,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.283709,74.2644882,2,19,1993,W
17,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,17.3145,78.4384346,4,16,1993,R
18,ebird,comments,Indian Paradise-Flycatcher,Karnataka,South,12.8154355,77.5879759,10,27,1993,W
19,ebird,comments,Indian Paradise-Flycatcher,Kerala,South,10.8304,76.6206479,11,30,1994,R
20,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.3636531,74.1061735,12,12,1994,W
21,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,11.5284,76.6399813,2,21,1995,W
22,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,17.3145,78.4384346,10,16,1995,W
23,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,17.406,79.9415016,4,28,1996,R
24,ebird,comments,Indian Paradise-Flycatcher,Madhya Pradesh,Central,21.1558957,80.5957031,3,16,1998,R
25,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.4418,73.7545314,12,8,1999,W
26,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.1579632,76.89161,3,5,2000,R
27,ebird,comments,Indian Paradise-Flycatcher,Telangana,Central,17.3145,78.4384346,2,23,2001,W
28,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.27083,76.91016,1,10,2002,R
29,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.3133,76.932087,1,15,2002,I
30,ebird,comments,Indian Paradise-Flycatcher,Tamil Nadu,South,10.3073,76.901127,1,18,2002,R
31,ebird,comments,Indian Paradise-Flycatcher,Goa,South,15.2924,74.233675,2,14,2002,W
